name,href
Securities and Exchange Board of India,https://www.sebi.gov.in/
National Portal Of India ,https://www.india.gov.in/
The Parliament of India,https://parliamentofindia.nic.in/
E-Court Services,https://ecourts.gov.in/ecourts_home/
National Informatic Center,https://www.nic.in/
Department of Telecommunication,https://dot.gov.in/
Reserve Bank of India,https://www.rbi.org.in/
Ministry of Agriculture,https://agricoop.nic.in/
Ministry of Chemicals & Fertilizers,https://chemicals.nic.in
Ministry of Civil Aviation,http://www.civilaviation.gov.in/
Ministry of Coal,http://coal.gov.in/
Ministry of Commerce & Industry,http://commerce.gov.in/
Ministry of Communications & Information Tech.,http://meity.gov.in/
"Ministry of Consumer Aff., Food, & Public Dist.",http://fcamin.nic.in/
Ministry of Corporate Affairs,http://fcamin.nic.in/
Ministry of Culture,https://indiaculture.gov.in/
Department of Defence,https://mod.gov.in/dod/
Ministry of Development of North Eastern Region,https://mdoner.gov.in/
Ministry of Drinking Water and Sanitation,https://mdws.gov.in/
Ministry of Earth Sciences,http://www.moes.gov.in/
Ministry of Environment & Forests,https://moef.gov.in/en/
Ministry of External Affairs,http://www.mea.gov.in/
Ministry of Finance,http://finmin.nic.in/
Ministry of Food Processing Industries,http://mofpi.nic.in/
Ministry of Health & Family Welfare,https://www.mohfw.gov.in/
Ministry of Heavy Industry & Public Enterprises,https://heavyindustries.gov.in/
Ministry of Home Affairs,https://mha.gov.in
Ministry of Housing & Urban Poverty Alleviation,http://mohua.gov.in/cms/mhupa.php
Ministry of Human Resource Development,http://www.education.nic.in/
Ministry of Information & Broadcasting,http://www.mib.gov.in/
Ministry of Labour & Employment,https://labour.gov.in/
Ministry of Law & Justice,http://lawmin.gov.in/
"Ministry of Micro, Small and Medium Enterprises",http://msme.gov.in/
Ministry of Mines,https://mines.gov.in/Home/Index
Ministry of Panchayati Raj,http://www.panchayat.gov.in/
"Ministry of Personnel, Public Grievances & Pensions",http://persmin.gov.in
Ministry of Petroleum & Natural Gas,https://mopng.gov.in/en
Ministry of Power,http://powermin.gov.in
Ministry of Railways,http://www.indianrailways.gov.in
Ministry of Road Transport & Highways,http://morth.nic.in
Ministry of Rural Development,http://rural.nic.in/
Ministry of Science & Technology,http://dst.gov.in/
Ministry of Shipping,http://shipmin.gov.in/
Ministry of Social Justice & Empowerment,https://socialjustice.gov.in/
Ministry of Statistics & Programme Implementation,http://mospi.gov.in/
Ministry of Steel,http://steel.gov.in/
Ministry of Textiles,http://www.texmin.nic.in/
Ministry of Tourism,http://tourism.gov.in/
Ministry of Tribal Affairs,http://tribal.nic.in/
Ministry of Urban Development,http://mohua.gov.in/
Ministry of Water Resources,https://jalshakti-dowr.gov.in/
Ministry of Women & Child Development,http://wcd.nic.in/
Ministry of Youth Affairs & Sports,http://yas.nic.in
Delhi High Court,https://delhihighcourt.nic.in/
Allahabad High Court,https://www.allahabadhighcourt.in/
Andhra Pradesh High Court,https://hc.ap.nic.in/
Bombay High Court,https://bombayhighcourt.nic.in/index.php
Calcutta High Court,https://www.calcuttahighcourt.gov.in/
Chhattisgarh High Court,https://highcourt.cg.gov.in/
Gauhati High Court,https://ghconline.gov.in/
Gujarat High Court,https://gujarathighcourt.nic.in/
Himachal Pradesh High Court,https://hphighcourt.nic.in/
Jammu & Kashmir High Court,https://jkhighcourt.nic.in/
Jharkhand High Court,https://jharkhandhighcourt.nic.in/
Karnataka High Court,https://karnatakajudiciary.kar.nic.in/
Kerala High Court,https://hckerala.gov.in/
Madhya Pradesh High Court,https://mphc.gov.in/
Madras High Court,https://www.hcmadras.tn.nic.in/
Manipur High Court,https://hcmimphal.nic.in/
Meghalaya High Court,https://meghalayahighcourt.nic.in/
High Court of Orissa,https://orissahighcourt.nic.in/
Patna High Court,https://patnahighcourt.gov.in/
Punjab & Haryana High Court,https://highcourtchd.gov.in/
Rajasthan High Court,https://hcraj.nic.in/hcraj/
Sikkim High Court,https://hcs.gov.in/hcs/
Telangana High Court,https://tshc.gov.in/
Tripura High Court,https://thc.nic.in/
Uttarakhand High Court,https://highcourtofuttarakhand.gov.in/
NITI AAYOG,niti.gov.in
Cabinet Secretariat,http://cabsec.nic.in/
Comptroller & Auditor General,https://cag.gov.in/en
Department of Atomic Energy,https://dae.gov.in/
Department of Space,http://www.isro.gov.in
Election Commission of India,https://eci.gov.in/
President,https://presidentofindia.nic.in/
Prime Minister's Office,http://www.pmindia.gov.in/
Vice-President,http://vicepresidentofindia.nic.in
Andhra Pradesh Police,https://citizen.appolice.gov.in/jsp/homePage.do?method=getHomePageElements
Arunachal Pradesh Police,https://arunpol.nic.in/
Assam Police,https://slprbassam.in/
Bihar Police,https://www.csbc.bih.nic.in/NewsGroup.htm
Chandigarh Police,https://chandigarhpolice.gov.in/
Dadra & Nagar Haveli Police,https://police.ddd.gov.in/
Delhi Police,https://delhipolice.gov.in/
Goa Police,https://citizen.goapolice.gov.in/
Gujarat Police,https://gujhome.gujarat.gov.in/portal/webHP
Haryana Police,https://haryanapolice.gov.in/login
Himachal Pradesh Police,http://citizenportal.hppolice.gov.in:8080/citizen/login.htm
Jammu & Kashmir Police,https://www.jkpolice.gov.in/
Karnataka Police,https://ksp.karnataka.gov.in/english
Kerala Police,https://keralapolice.gov.in/
Kolkata Police,https://www.kolkatapolice.gov.in/
Border Security Force(BSF),https://bsf.gov.in/
Bureau of Police Research and Development,https://bprd.nic.in/
Central Bureau of Investigation(CBI),https://cbi.gov.in/
Indo - Tibetan Border Police(ITBP),https://www.itbpolice.nic.in/
National Security Guard(NSG),https://nsg.gov.in/
Manipur Police,http://www.manipurpolice.gov.in/
Mizoram Police,https://police.mizoram.gov.in/
Nagaland Police,https://police.nagaland.gov.in/
Orissa Police,https://odishapolice.gov.in/
Puducherry Police,https://police.py.gov.in/
Punjab Police,https://www.punjabpolice.gov.in/
Rajasthan Police,https://www.police.rajasthan.gov.in/
Sikkim Police,https://sikkimpolice.nic.in/
Tamil Nadu Police,https://eservices.tnpolice.gov.in/CCTNSNICSDC/Index?0
Telangana Police,https://www.tspolice.gov.in/jsp/homePage?method=getHomePageElements
Tripura Police,https://tripurapolice.gov.in/
Uttarakhand Police,https://uttarakhandpolice.uk.gov.in/
Uttar Pradesh Police,https://uppolice.gov.in/
Central Reserve Police Force (CRPF),https://crpf.gov.in/
National Crime Record Bureau (NCRB),https://ncrb.gov.in/en
Sashastra Seema Bal (SSB),https://ssb.gov.in/?AspxAutoDetectCookieSupport=1